Time;Susceptible;Exposed;Infected;Recovered;Death;2nd Effects Cases
55,5;7653792,133;16,03036476;13,89901311;22,74310736;0,194973689;19,33164126
55,75;7653791,09;16,34413063;14,17106247;23,19582982;0,198854819;19,71645534
56;7653790,027;16,66403783;14,44843668;23,65741354;0,202811916;20,10880151
56,25;7653788,944;16,99020656;14,73123997;24,12803197;0,206846467;20,50882717
56,5;7653787,839;17,32275938;15,01957859;24,60786194;0,210959986;20,91668265
56,75;7653786,712;17,66182124;15,31356089;25,09708376;0,215154021;21,33252119
57;7653785,564;18,00751953;15,61329733;25,59588125;0,219430147;21,75649906
57,25;7653784,393;18,35998416;15,91890053;26,10444184;0,22378997;22,18877556
57,5;7653783,199;18,71934755;16,23048533;26,62295662;0,22823513;22,62951312
57,75;7653781,982;19,08574472;16,54816879;27,15162042;0,232767296;23,07887736
58;7653780,741;19,45931335;16,87207029;27,6906319;0,237388171;23,53703711
58,25;7653779,475;19,84019379;17,20231153;28,24019358;0,242099491;24,00416455
58,5;7653778,185;20,22852916;17,53901659;28,80051198;0,246903028;24,48043518
58,75;7653776,87;20,62446536;17,88231199;29,37179762;0,251800585;24,96602798
59;7653775,528;21,02815117;18,23232671;29,95426517;0,256794003;25,4611254
59,25;7653774,161;21,43973826;18,58919228;30,5481335;0,261885159;25,96591348
59,5;7653772,767;21,85938126;18,95304278;31,15362575;0,267075965;26,48058189
59,75;7653771,345;22,28723787;19,32401492;31,77096944;0,272368371;27,00532403
60;7653769,896;22,72346882;19,7022481;32,40039654;0,277764368;27,54033706
60,25;7653768,418;23,16823804;20,08788442;33,04214355;0,283265981;28,08582202
60,5;7653766,912;23,62171262;20,48106879;33,69645161;0,288875279;28,64198387
60,75;7653765,376;24,08406296;20,88194894;34,36356658;0,294594368;29,20903159
61;7653763,81;24,55546276;21,2906755;35,04373913;0,300425398;29,78717826
61,25;7653762,213;25,03608915;21,70740203;35,73722483;0,306370561;30,37664111
61,5;7653760,585;25,52612271;22,13228512;36,44428426;0,312432089;30,97764162
61,75;7653758,925;26,02574755;22,56548442;37,1651831;0,318612261;31,59040564
62;7653757,233;26,53515139;23,00716268;37,90019223;0,324913398;32,2151634
62,25;7653755,507;27,05452563;23,45748586;38,64958782;0,331337868;32,85214965
62,5;7653753,748;27,58406541;23,91662317;39,41365146;0,337888086;33,50160374
62,75;7653751,954;28,12396969;24,38474711;40,19267025;0,344566512;34,16376971
63;7653750,125;28,67444131;24,86203358;40,9869369;0,351375657;34,83889636
63,25;7653748,261;29,23568711;25,3486619;41,79674985;0,358318077;35,52723737
63,5;7653746,359;29,80791794;25,84481492;42,62241339;0,365396383;36,22905138
63,75;7653744,421;30,39134881;26,35067905;43,46423777;0,372613234;36,9446021
64;7653742,445;30,98619892;26,86644437;44,32253929;0,37997134;37,6741584
64,25;7653740,43;31,59269176;27,39230466;45,19764046;0,387473468;38,41799439
64,5;7653738,375;32,2110552;27,9284575;46,08987009;0,395122437;39,17638958
64,75;7653736,281;32,84152157;28,47510434;46,99956344;0,402921119;39,94962893
65;7653734,145;33,48432774;29,03245057;47,92706233;0,410872446;40,73800298
65,25;7653731,968;34,13971521;29,60070559;48,87271524;0,418979404;41,54180795
65,5;7653729,748;34,80793023;30,18008292;49,83687751;0,427245042;42,36134589
65,75;7653727,484;35,48922384;30,77080023;50,81991142;0,435672463;43,19692471
66;7653725,177;36,18385202;31,37307948;51,82218634;0,444264835;44,04885839
66,25;7653722,824;36,89207574;31,98714696;52,84407886;0,453025386;44,91746703
66,5;7653720,425;37,61416107;32,61323338;53,88597295;0,461957408;45,80307701
66,75;7653717,979;38,35037932;33,25157397;54,9482601;0,471064257;46,70602109
67;7653715,485;39,10100707;33,90240858;56,03133946;0,480349355;47,62663854
67,25;7653712,942;39,86632634;34,56598173;57,13561798;0,48981619;48,56527528
67,5;7653710,35;40,64662467;35,24254273;58,26151058;0,499468321;49,522284
67,75;7653707,707;41,4421952;35,9323458;59,40944032;0,509309372;50,49802427
68;7653705,012;42,25333682;36,63565008;60,57983851;0,519343043;51,49286273
68,25;7653702,264;43,08035429;37,35271983;61,77314491;0,529573103;52,50717318
68,5;7653699,463;43,92355831;38,08382446;62,98980791;0,540003396;53,54133673
68,75;7653696,607;44,78326565;38,82923866;64,23028465;0,550637841;54,59574196
69;7653693,694;45,65979932;39,58924247;65,49504123;0,561480434;55,67078504
69,25;7653690,725;46,5534886;40,36412145;66,78455285;0,572535249;56,76686993
69,5;7653687,698;47,46466925;41,15416673;68,09930405;0,583806439;57,88440844
69,75;7653684,612;48,39368359;41,95967513;69,43978882;0,59529824;59,0238205
70;7653681,465;49,34088063;42,78094928;70,80651083;0,607014969;60,1855342
70,25;7653678,256;50,30661623;43,61829775;72,1999836;0,618961029;61,36998606
70,5;7653674,985;51,29125318;44,47203513;73,62073072;0,631140909;62,57762111
70,75;7653671,65;52,2951614;45,34248217;75,069286;0,643559184;63,8088931
